date,amount,action,note
2025-12-03,1000.0,initial,Bankroll initiale
2025-12-07,950.0,loss,Pari #6 perdu
2025-12-07,970.0,win,Pari #5 gagné
2025-12-07,1062.0,win,Pari #4 gagné
2025-12-07,1090.5,win,Pari #3 gagné
2025-12-07,1040.5,loss,Pari #2 perdu
2025-12-14,1004.7573274205316,loss,Pari #7 perdu
2025-12-14,959.3686224686236,loss,Pari #8 perdu
2026-02-08,938.6076296459044,loss,Pari #9 perdu
2026-02-22,966.2604517264358,win,Pari #10 gagné
2026-02-22,945.917927405878,loss,Pari #11 perdu
2026-03-01,843.5700745813244,loss,Pari #16 perdu
2026-03-01,861.3689158902138,win,Pari #13 gagné
2026-03-29,894.9565237980551,win,Pari #19 gagné
2026-03-29,835.2932516826265,loss,Pari #18 perdu
2026-03-29,854.0524570553386,win,Pari #17 gagné
